year,n,broken,broken_pct,ci
2022,5,2,40.0,42.941448508405024
2023,22,13,59.09090909090909,20.54541797700249
2024,47,21,44.680851063829785,14.213649631111288
2025,44,16,36.36363636363637,14.21399190023848
2026,52,1,1.9230769230769231,3.7328122265656973
